sqale_index;bugs;vulnerabilities;code_smells;reliability_remediation_effort;security_remediation_effort
0;0;0;0;0;0
895;1;29;174;15;445
885;1;29;172;15;445
885;1;29;172;15;445
885;1;29;172;15;445
1269;1;40;226;15;560
1269;1;40;226;15;560
1269;1;40;226;15;560
1284;1;40;229;15;560
1284;1;40;229;15;560
1284;1;39;229;15;550
1284;1;40;229;15;560
1279;1;40;228;15;560
1279;1;40;228;15;560
1293;1;40;232;15;560
1293;1;40;232;15;560
1293;1;40;232;15;560
1298;1;42;233;15;580
1298;1;42;233;15;580
1298;1;42;233;15;580
1298;1;42;233;15;580
1280;1;42;224;15;580
1345;1;42;231;15;580
1355;1;42;233;15;580
1347;1;42;229;15;580
1347;1;42;229;15;580
1347;1;42;229;15;580
1347;1;42;229;15;580
1347;1;42;229;15;580
1347;1;42;229;15;580
1357;1;42;231;15;580
1357;1;42;231;15;580
1362;1;42;232;15;580
1362;1;42;232;15;580
1372;2;42;238;25;580
1391;2;42;243;25;580
1396;2;42;244;25;580
1416;2;42;246;25;580
1382;2;40;242;25;560
1379;2;44;238;25;600
1379;2;44;238;25;600
1379;2;44;238;25;600
1379;2;44;242;25;600
1375;2;44;240;25;600
1377;2;44;241;25;600
1377;2;44;241;25;600
1413;2;44;243;25;600
1438;2;44;248;25;600
1403;2;44;245;25;600
1403;2;44;245;25;600
1403;2;44;245;25;600
1448;2;45;249;25;610
1454;2;46;248;25;630
1464;2;46;250;25;630
1466;2;46;251;25;630
1553;3;48;261;40;660
1578;3;48;266;40;660
1632;3;48;268;40;660
1630;3;48;267;40;660
1639;3;49;268;40;680
1655;3;49;273;40;680
1640;3;49;270;40;680
1675;3;51;274;40;700
1705;3;51;276;40;700
1705;3;51;276;40;700
1715;3;51;278;40;700
1871;3;53;301;40;740
1929;3;53;311;40;740
2021;3;53;326;40;740
2021;3;53;326;40;740
2149;3;58;333;40;810
2149;3;58;333;40;810
2150;3;59;335;40;820
1645;3;40;268;40;575
1613;3;40;261;40;575
1556;2;41;250;25;585
1545;2;42;253;25;595
1545;2;42;253;25;595
1545;2;42;253;25;595
1545;2;42;253;25;595
1545;2;42;253;25;595
1545;2;42;253;25;595
1545;2;42;253;25;595
1545;2;42;253;25;595
1505;2;42;249;25;595
1505;2;42;249;25;595
1505;2;42;249;25;595
1505;2;42;249;25;595
1509;2;42;251;25;595
1509;2;42;251;25;595
1469;2;42;247;25;595
1509;2;42;251;25;595
1509;2;42;251;25;595
1423;2;40;236;25;575
1516;2;42;256;25;595
1531;2;42;259;25;595
1573;2;42;260;25;595
1573;2;42;260;25;595

