date;date_real;cpu_cycles;branch_misses;cache_references;cache_misses;page_faults;energy_CPU(J)
2015-12-18;28/6/2015;1.13725E+11;902111538;15894751648;1155109486;284547;56.65605575
2015-12-25;2/7/2015;1.13775E+11;904565574;15868658931;1156239319;284576;55.68438456
2016-01-01;6/7/2015;1.13997E+11;902762840;15898419917;1156406162;284546;56.8534873
2016-01-08;9/7/2015;1.13869E+11;899389107;15894945571;1154375903;284627;56.21674898
2016-01-15;11/7/2015;1.13926E+11;898967360;15897376004;1155713789;284573;56.76534203
2016-01-22;13/7/2015;1.13685E+11;900524626;15894582730;1156787282;284572;57.41918142
2016-01-29;16/7/2015;1.13850E+11;901093094;15895673440;1155585608;284474;57.12849857
2016-02-05;18/7/2015;1.13704E+11;897588489;15842123673;1153691617;284553;57.10700143
2016-02-12;27/7/2015;1.13556E+11;900344994;15872883286;1156573175;284618;57.094443
2016-02-19;31/7/2015;1.14904E+11;904744833;16002022335;1170618613;280413;57.72177735
2016-02-26;4/8/2015;1.15052E+11;905620899;15993906775;1170078179;280315;57.97469137
2016-03-04;18/8/2015;1.09008E+11;898070346;15338543637;927080865;280350;53.15720825
2016-03-11;19/8/2015;1.08987E+11;897496159;15343703235;927902543;280300;55.06926574
2016-03-18;2/9/2015;1.09024E+11;905898583;15327654203;923361659;280365;53.21700273
2016-03-25;5/9/2015;1.09238E+11;905406082;15337729220;922724812;280409;54.38603326
2016-04-01;17/9/2015;1.06249E+11;914537791;15638657856;923866432;280385;51.94004468
2016-04-08;19/9/2015;1.06069E+11;907232209;15648124267;924232941;280344;53.47330645
2016-04-15;22/9/2015;1.06391E+11;909877581;15645452468;922786337;280318;55.21227493
2016-04-22;23/9/2015;1.06134E+11;908636366;15620280260;923896423;280354;51.83569354
2016-04-29;24/9/2015;1.06615E+11;910449561;15592348147;923449653;280308;54.94009617
2016-05-06;25/9/2015;1.06489E+11;915096046;15633004677;924728878;280394;53.99484425
2016-05-13;26/9/2015;1.06319E+11;913310558;15653992031;923191502;280340;53.95165061
2016-05-20;28/9/2015;1.06174E+11;913474454;15639156904;924029740;280369;52.47652151
2016-05-27;30/9/2015;1.05996E+11;912953790;15647035809;922608627;280339;54.29550762
2016-06-03;3/10/2015;1.06330E+11;914757041;15637459694;922993284;280319;53.9147256
2016-06-10;17/10/2015;1.06378E+11;914784106;15581090261;925015339;280312;54.27173573
2016-06-17;2/12/2015;1.06118E+11;912990952;15584518129;927021286;280386;52.55814047
2016-06-24;4/12/2015;1.06320E+11;912500791;15536446351;926940601;280351;51.97915381
2016-07-01;10/12/2015;1.06265E+11;914727211;15559113506;924501645;280396;51.99759476
2016-07-08;11/12/2015;1.06269E+11;914959716;15542259414;924896556;280472;52.13970157
2016-07-15;29/12/2015;1.06172E+11;915785512;15566228998;925946457;280367;51.74062996
2016-07-22;26/2/2016;1.06339E+11;915675620;15548874205;925966083;280409;52.66712497
2016-07-29;22/4/2016;1.06045E+11;903123275;15571066879;926790685;280427;51.18397759
2016-08-05;18/6/2016;1.05728E+11;901013054;15560426028;926942575;280383;51.99940775
2016-08-12;21/6/2016;1.05952E+11;901921301;15574498844;925658239;280424;52.68117227
2016-08-19;19/9/2016;1.05894E+11;902867253;15560863041;925461201;280369;52.9132807
2016-08-26;21/9/2016;1.05735E+11;901660878;15583645240;925370662;280380;53.32692249
2016-09-02;6/10/2016;1.05494E+11;900996150;15427563578;924131683;280370;52.86367375
2016-09-09;3/2/2017;1.05798E+11;906684016;15422378674;926208557;280385;53.25246685
2016-09-16;25/4/2017;1.06252E+11;912583998;15409724907;925141372;280359;54.25198969
2016-09-23;3/5/2017;1.06001E+11;910859944;15416670184;927260229;280367;53.66702845
2016-09-30;10/5/2017;1.06200E+11;908620477;15447496091;928763391;280421;51.82701184
2016-10-07;15/5/2017;1.06170E+11;909001135;15412337432;925420617;280432;52.65048789
2016-10-14;17/5/2017;1.05994E+11;910792068;15433885764;925670894;280448;53.34679438
2016-10-21;10/6/2017;1.06329E+11;912572961;15433125296;924627257;280371;52.79605036
2016-10-28;17/6/2017;1.06010E+11;910760238;15421773435;926015141;280389;53.26380865
2016-11-04;19/6/2017;1.05849E+11;907697010;15430511961;925251512;280423;52.26519367
2016-11-11;1/10/2017;1.05888E+11;908663796;15432799966;924023523;280379;52.27799039
2016-11-18;3/1/2018;1.05805E+11;901234020;15552736956;927958073;280430;52.32929477
2016-11-25;6/1/2018;1.06149E+11;900471841;15553430189;925256852;280394;51.90950403
2016-12-02;27/4/2018;1.05877E+11;901092965;15570367971;924861815;280423;52.34462651
2016-12-09;13/8/2018;1.06519E+11;902676952;15487940665;924339091;280403;52.32007781
2016-12-16;21/8/2018;1.06364E+11;903203573;15499233174;924010768;280428;52.72028658
2016-12-23;22/8/2018;1.06540E+11;902823411;15493636520;924036083;280443;53.04836623
2016-12-30;30/8/2018;1.06685E+11;905317394;15505809582;925841684;280334;53.30884323
2017-01-06;8/10/2018;1.06439E+11;900157233;15495298151;924985562;280403;54.95435651
2017-01-13;9/10/2018;1.04119E+11;889954054;15134972749;824631789;280385;53.0029522
2017-01-20;12/2/2019;1.03883E+11;888300710;15115537613;822165596;280404;50.71445629
2017-01-27;15/2/2019;1.03552E+11;887129570;15170493391;821011774;280361;50.15945199
2017-02-03;20/3/2019;1.03752E+11;893528854;15167291794;821886094;280410;51.11973353
